questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"If a subclass extends an abstract class, what must it do with the abstract methods?",Ignore them entirely,"Implement all abstract methods, or itself be declared abstract",Make them private,Convert them to static methods,,2,A concrete subclass must implement every abstract method it inherits; otherwise it must also be declared abstract.,1
What's a key difference between an abstract class and a traditional interface (pre-Java 8 default methods)?,Abstract classes can be instantiated directly,Interfaces cannot declare method signatures,An abstract class can have constructors and instance state; a traditional interface cannot,Interfaces support multiple inheritance of state; abstract classes do not,,3,"Abstract classes can hold constructors, instance fields, and partial implementations, while traditional interfaces only declared method signatures with no state.",1
What is the diamond problem?,Ambiguity that arises when a class inherits the same method from two different parent paths,An error thrown when a class has too many fields,A performance issue in deeply nested loops,A naming convention for interfaces,,1,"The diamond problem occurs in multiple inheritance when a class inherits conflicting implementations of the same method from two ancestors, creating ambiguity about which to use.",1
How does Java avoid the classic diamond problem for classes?,By allowing multiple class inheritance freely,By automatically merging conflicting methods,By disallowing multiple class inheritance,By deprecating the extends keyword,,3,Java sidesteps the diamond problem by only permitting single inheritance of classes; interfaces with default methods require the implementing class to explicitly resolve conflicts.,1
A protected member of a superclass is accessible to:,Only public classes,Subclasses (even in different packages) and classes in the same package,Only the exact same class,No one outside the file,,2,"protected grants access to subclasses regardless of package, plus any class within the same package.",1
Why is favor composition over inheritance a common design guideline?,Inheritance cannot be used in Java,Composition creates looser coupling and avoids fragile base class problems,Composition is always faster at runtime,Composition eliminates the need for interfaces,,2,"Composition (HAS-A) tends to be more flexible and less brittle than deep inheritance hierarchies, which can break when a base class changes.",1
What is hierarchical inheritance?,One superclass has multiple subclasses inheriting from it,A class inherits from itself,A subclass inherits from multiple superclasses,A chain of classes each inheriting from the previous,,1,Hierarchical inheritance is when one parent class is extended by several distinct child classes.,1
What is multilevel inheritance?,Two classes inheriting from the same parent,"A chain where a class inherits from a subclass, which itself inherits from another class",A class implementing two interfaces,A static inheritance pattern,,2,"Multilevel inheritance forms a chain: e.g., Class C extends Class B, and Class B extends Class A.",1
"Can a class in Java extend itself (e.g., class A extends A)?","Yes, but only for abstract classes","Yes, it's a valid recursive class","No, this causes a compile-time error",Only allowed with generics,,3,A class cannot extend itself; Java detects this cyclic inheritance and raises a compile-time error.,1
How does inheritance enable runtime polymorphism?,Polymorphism only works with static methods,"A superclass reference can point to different subclass objects, and the overridden method actually invoked is determined at runtime",Inheritance has nothing to do with polymorphism,It requires the final keyword,,2,"Because subclasses override superclass methods, a superclass-typed reference calling that method invokes the actual subclass's version at runtime (dynamic dispatch).",1
Are instance fields polymorphic like overridden methods (resolved by actual object type)?,"No, field access is resolved based on the reference type, not the actual object type",Only static fields are polymorphic,"Yes, fields behave exactly like overridden methods",Only final fields are polymorphic,,1,"Unlike methods, fields are not polymorphic; accessing a field through a superclass reference always gets the superclass's field, even if a subclass hides it with a same-named field.",1
What does this() do inside a constructor (as opposed to super())?,Creates a new unrelated object,Calls another constructor in the same class,Declares the class as final,Calls the parent class constructor,,2,"this() is used for constructor chaining within the same class, while super() calls the parent class's constructor.",1
Can a constructor call be both this() and super() in the same constructor?,"Yes, but only in abstract classes",Only allowed in static constructors,"Yes, both can appear together anywhere","No, only one of them can be used per constructor, and it must be the first statement",,4,"A constructor may call either this() or super(), but only one, and it must be the very first statement.",1
Can a subclass override a constructor from its superclass?,Only using the @Override annotation,"Yes, exactly like instance methods",Only if declared abstract,"No, constructors are not inherited or overridden",,4,"Constructors aren't inherited, so the concept of overriding doesn't apply to them; each class must define its own constructors.",1
"In Java 8+, what feature allows interfaces to provide method bodies (partial implementation of behavior)?",Final methods,Default methods,Static blocks,Abstract methods,,2,"Java 8 introduced default methods in interfaces, letting interfaces provide a method body that implementing classes can use or override.",1
Can interfaces have static methods?,Only in abstract classes,Only if the interface is marked final,"No, interfaces can never have static methods","Yes, since Java 8",,4,"Since Java 8, interfaces can declare static methods, callable directly on the interface itself.",1
Can a single class implement multiple interfaces in Java?,Only for final classes,"No, only one interface per class",Yes,Only if the interfaces have no methods,,3,"A class can implement any number of interfaces, which is how Java achieves multiple inheritance of type.",1
What are covariant return types in method overriding?,An overriding method may return a subtype of the return type declared in the superclass method,Only primitive types can vary,The overriding method must always throw the same exceptions,Return types must exactly match with no variation allowed,,1,"Since Java 5, an overriding method can return a more specific (subclass) type than the overridden method's declared return type; this is called a covariant return type.",1
"When overriding a method that declares checked exceptions, what rule applies to the subclass method?",It cannot throw new or broader checked exceptions than the superclass method,Checked exceptions are ignored during overriding,It must throw at least one checked exception,It can throw any exception type freely,,1,"An overriding method cannot declare new or broader checked exceptions than the method it overrides, to preserve substitutability.",1
"If a subclass defines a private method with the same name and parameters as a private method in its superclass, what happens?",It causes a compile-time error,It becomes a static method automatically,It overrides the parent's private method,"It's a completely independent method, not an override, since private methods aren't inherited",,4,"Since private methods aren't visible to or inherited by the subclass, defining a same-named private method in the subclass is unrelated to the parent's; no overriding occurs.",1
What is the purpose of super.methodName() inside an overriding method?,To delete the overridden method,To restart the constructor chain,To call a static method only,To explicitly call the superclass's version of the overridden method,,4,super.methodName() lets an overriding method still invoke and build upon the parent class's original implementation.,1
How does inheritance interact with encapsulation?,Inheritance always strengthens encapsulation,Encapsulation is only possible without inheritance,They are unrelated concepts entirely,Inheritance can weaken encapsulation if superclass internals are overexposed via protected or public members,,4,"Careless use of protected/public fields in a superclass can leak implementation details to subclasses, weakening encapsulation, a known criticism of deep inheritance hierarchies.",1
Which is a classic real-world example of inheritance?,Engine extends Car,Wheel extends Tire,Color extends Shape,Car extends Vehicle,,4,Car extends Vehicle is a textbook IS-A example; a Car is a specialized kind of Vehicle.,1
What is the main risk of overusing deep inheritance hierarchies?,Faster program execution,Improved encapsulation automatically,Reduced memory usage,"Tight coupling and fragile base class problems, where superclass changes break many subclasses",,4,"Deep inheritance chains tightly couple subclasses to superclass implementation details, so changes to the base class can unexpectedly break many descendants (fragile base class problem).",1
When should you generally prefer inheritance over composition?,"Always, inheritance is preferred in every case","Never, inheritance should always be avoided",When there's a true IS-A relationship and the subclass needs to reuse and extend base behavior polymorphically,Whenever two classes share any field name,,3,Inheritance fits best for genuine IS-A relationships where polymorphic substitution is needed; otherwise composition (HAS-A) is usually more flexible.,1
What does the Liskov Substitution Principle state in relation to inheritance?,Subclasses must always override every method,Interfaces must not have default methods,Superclasses cannot have constructors,Objects of a superclass should be replaceable with objects of a subclass without breaking the program's correctness,,4,"LSP states that subtypes must be substitutable for their base types without altering the correctness of the program, a core principle guiding proper inheritance design.",1
